,Unnamed: 0,links,rest_name,rest_location,rest_rating_aggr,rest_cuisine,rest_cuisine_2,rest_cuisine_3,rest_no_review,rest_price_cat,post1,post2,area,rest1,rest2
266,281,https://www.tripadvisor.dk/Restaurant_Review-g189541-d13426231-Reviews-Khmer_Cuisine-Copenhagen_Zealand.html,Khmer Cuisine,"Store Kongensgade 92, Kl., København 1264 Danmark",4.5,Asiatisk,Cambodjansk,Vegetarvenlig,70.0,2.5,"Store Kongensgade 92, Kl., København 1264",1264.0,København K,Asiatisk,Asiatisk
267,93,https://www.tripadvisor.dk/Restaurant_Review-g189541-d695021-Reviews-Den_Lille_Fede_Restaurant-Copenhagen_Zealand.html,Den Lille Fede Restaurant,"Store Kongensgade 17, København 1264 Danmark",4.5,Europæisk,Centraleuropæisk,Skandinavisk,753.0,4.0,"Store Kongensgade 17, København 1264",1264.0,København K,Europæisk,Europæisk
268,38,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1815506-Reviews-The_Red_Box-Copenhagen_Zealand.html,The Red Box,"Store Kongensgade 42, København 1264 Danmark",4.5,Fransk,Asiatisk,Fusion,528.0,2.5,"Store Kongensgade 42, København 1264",1264.0,København K,Fransk,Fransk
269,1191,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1471548-Reviews-Nakorn_Thai-Copenhagen_Zealand.html,Nakorn Thai,"Store Kongensgade 87, København 1264 Danmark",3.5,Asiatisk,Thai,Vegetarvenlig,64.0,2.5,"Store Kongensgade 87, København 1264",1264.0,København K,Asiatisk,Asiatisk
270,1683,https://www.tripadvisor.dk/Restaurant_Review-g189541-d12332255-Reviews-Nozomi-Copenhagen_Zealand.html,Nozomi,"Store Kongensgade 60, København 1264 Danmark",4.0,Fisk og skaldyr,Sushi,Asiatisk,34.0,0.0,"Store Kongensgade 60, København 1264",1264.0,København K,Fisk og skaldyr,Fisk og skaldyr
271,524,https://www.tripadvisor.dk/Restaurant_Review-g189541-d6439427-Reviews-Pizza_Time-Copenhagen_Zealand.html,Pizza Time,"Gothersgade 7, København 1264 Danmark",4.5,Italiensk,Pizza,Fastfood,68.0,1.0,"Gothersgade 7, København 1264",1264.0,København K,Italiensk,Italiensk
272,930,https://www.tripadvisor.dk/Restaurant_Review-g189541-d5111877-Reviews-Cafe_Bla_Time-Copenhagen_Zealand.html,Cafe blå time,"Store Kongensgade 36 Kobenhavn K, København 1264 Danmark",4.0,Fransk,Café,Vegetarvenlig,41.0,1.0,"Store Kongensgade 36 Kobenhavn K, København 1264",1264.0,København K,Fransk,Fransk
273,443,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1471532-Reviews-Hereford_Steak-Copenhagen_Zealand.html,Hereford Steak,"Store Kongensgade 38, København 1264 Danmark",4.0,Steakhouse,Europæisk],,266.0,2.5,"Store Kongensgade 38, København 1264",1264.0,København K,Steakhouse,Steakhouse
274,1700,https://www.tripadvisor.dk/Restaurant_Review-g189541-d6985483-Reviews-M-Copenhagen_Zealand.html,M,"Store Kongensgade 56, København 1264 Danmark",4.0,Skandinavisk],,,11.0,0.0,"Store Kongensgade 56, København 1264",1264.0,København K,Skandinavisk,Skandinavisk
275,1462,https://www.tripadvisor.dk/Restaurant_Review-g189541-d16818421-Reviews-Mulgeo-Copenhagen_Zealand.html,Mulgeo,"Store Kongensgade 93, København 1264 Danmark",5.0,Fisk og skaldyr,Fastfood,Moderne,5.0,2.5,"Store Kongensgade 93, København 1264",1264.0,København K,Fisk og skaldyr,Fisk og skaldyr
