,links,rest_name,rest_location,rest_rating,rest_cuisine,rest_cuisine_2,rest_cuisine_3,rest_no_review,rest_price_cat
293,https://www.tripadvisor.dk/Restaurant_Review-g189541-d780382-Reviews-L_Education_Nationale-Copenhagen_Zealand.html,L'éducation Nationale,"Larsbjornsstræde 12, København 1454 Danmark",4.0,Fransk,Europæisk,Vegetarvenlig,301,2.5
294,https://www.tripadvisor.dk/Restaurant_Review-g189541-d9566653-Reviews-Anarki-Copenhagen_Zealand.html,Anarki,"Vodroffsvej 47, København 1900 Danmark",4.5,Fransk,Europæisk,Dansk,111,2.5
295,https://www.tripadvisor.dk/Restaurant_Review-g189541-d3559540-Reviews-Restaurant_Pilekaelderen-Copenhagen_Zealand.html,Restaurant Pilekælderen,"Pilestraede 48 1112 Copenhagen K., København 1112 Danmark",4.0,Skandinavisk,Dansk,Vegetarvenlig,155,2.5
296,https://www.tripadvisor.dk/Restaurant_Review-g189541-d3513682-Reviews-Cafe_Munk-Copenhagen_Zealand.html,Cafe Munk,"Noerre Farimagsgade 55, København 1364 Danmark",4.0,Indisk,Café,Vegetarvenlig,181,2.5
297,https://www.tripadvisor.dk/Restaurant_Review-g189541-d2045377-Reviews-Relae-Copenhagen_Zealand.html,Relæ,"Jægersborggade 41 2200 københavn n, København 2200 Danmark",4.0,Europæisk,Skandinavisk,Dansk,817,4.0
298,https://www.tripadvisor.dk/Restaurant_Review-g189541-d3809403-Reviews-RetroGusto-Copenhagen_Zealand.html,RetroGusto,"Vesterbrogade 31, 1620 Kbh-V Vesterbrogade 31,, København 1620 Danmark",4.5,Italiensk,Middelhavsområdet,Europæisk,618,2.5
299,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1050144-Reviews-Al_Diwan-Copenhagen_Zealand.html,Al-Diwan,"Vesterbrogade 94, København 1620 Danmark",4.0,Indisk,Asiatisk,Pakistansk,197,2.5
300,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1118212-Reviews-Kystens_Perle-Copenhagen_Zealand.html,Kystens Perle,"Bryggergården 14, København 2770 Danmark",4.0,Café,Europæisk,Skandinavisk,196,2.5
301,https://www.tripadvisor.dk/Restaurant_Review-g189541-d15022313-Reviews-Tarnet_Restaurant-Copenhagen_Zealand.html,Tarnet Restaurant,"Christiansborg Slotsplads The Christiansborg's Tower, København 1218 Danmark",4.0,Skandinavisk,Dansk],,219,2.5
302,https://www.tripadvisor.dk/Restaurant_Review-g189541-d7240050-Reviews-Madenitaly-Copenhagen_Zealand.html,Madenitaly,"Holbergsgade 22, st. th Nyhavn, København 1057 Danmark",4.5,Italiensk,Pizza,Europæisk,85,1.0
303,https://www.tripadvisor.dk/Restaurant_Review-g189541-d6909932-Reviews-Halifax_Osterbro-Copenhagen_Zealand.html,Halifax Østerbro,"Trianglen 1, København 2100 Danmark",4.0,Amerikansk,Dansk,Vegetarvenlig,192,2.5
304,https://www.tripadvisor.dk/Restaurant_Review-g189541-d14168376-Reviews-Restaurant_Salon-Copenhagen_Zealand.html,Restaurant Salon,"Bredgade 63, København 1260 Danmark",4.5,Fransk,Europæisk],,38,4.0
305,https://www.tripadvisor.dk/Restaurant_Review-g189541-d8680426-Reviews-Restaurant_Naert-Copenhagen_Zealand.html,restaurant Naert,"Pilestræde 63, København 1112 Danmark",4.5,International,Europæisk,Skandinavisk,140,4.0
306,https://www.tripadvisor.dk/Restaurant_Review-g189541-d10541130-Reviews-Mad_Kaffe-Copenhagen_Zealand.html,Mad & Kaffe,"Tyrolsgade 6, Amagerbro, København Danmark",4.5,Café,Europæisk,Skandinavisk,93,2.5
307,https://www.tripadvisor.dk/Restaurant_Review-g189541-d776277-Reviews-Dalle_Valle-Copenhagen_Zealand.html,Dalle Valle,"Fiolstræde 3-5, København 5000 Danmark",4.0,Europæisk,Skandinavisk,Dansk,1017,1.0
308,https://www.tripadvisor.dk/Restaurant_Review-g189541-d1051148-Reviews-Restaurant_Sahil-Copenhagen_Zealand.html,Restaurant Sahil,"Havnegade 33, København 1058 Danmark",4.0,Indisk,Asiatisk,Pakistansk,227,2.5
309,https://www.tripadvisor.dk/Restaurant_Review-g189541-d951454-Reviews-Den_Gule_Cottage-Copenhagen_Zealand.html,Den Gule Cottage,"Taarbæk Strandvej 2, København 2930 Danmark",4.5,Europæisk,Skandinavisk,Dansk,148,2.5
